isni;wrong_wikipedia;correct_wikipedia;isni_uri;doremus_uri
0000000121383045;http://en.wikipedia.org/wiki/Antoine;http://en.wikipedia.org/wiki/Antoine-Frédéric_Gresnick;http://isni.org/isni/0000000121383045;http://data.doremus.org/artist/28540618-fef3-361c-84a9-64067a44f5ef
0000000059338779;http://en.wikipedia.org/wiki/Martin;http://en.wikipedia.org/wiki/Martin-Joseph_Mengal;http://isni.org/isni/0000000059338779;http://data.doremus.org/artist/1175c6da-f12e-358f-978d-ab2b41e4573a
0000000114661342;http://en.wikipedia.org/wiki/Joseph;http://en.wikipedia.org/wiki/Joseph-Hector_Fiocco;http://isni.org/isni/0000000114661342;http://data.doremus.org/artist/92749ae6-22ed-372f-bf36-60620d7dd84a
000000005266781X;http://en.wikipedia.org/wiki/Sven;http://en.wikipedia.org/wiki/Sven-Erik_Bäck;http://isni.org/isni/000000005266781X;http://data.doremus.org/artist/2545fe05-4aa3-3f10-960a-9d2a28750bed
0000000121396655;http://en.wikipedia.org/wiki/Peter_Cornelius_(opera_singer);http://en.wikipedia.org/wiki/Peter_Cornelius;http://isni.org/isni/0000000121396655;http://data.doremus.org/artist/feedb49e-60a1-3d09-9c85-8cac5cadd123
000000012135894X;http://en.wikipedia.org/wiki/Adrien;http://en.wikipedia.org/wiki/Adrien-François_Servais;http://isni.org/isni/000000012135894X;http://data.doremus.org/artist/7c42dd6f-0331-3677-ab16-06eb332bd319
0000000002898994;http://en.wikipedia.org/wiki/Harold_Fraser;http://en.wikipedia.org/wiki/Harold_Fraser-Simson;http://isni.org/isni/0000000002898994;http://data.doremus.org/artist/628e9aeb-6476-3e5b-8271-299e26a46d91
0000000110677347;http://en.wikipedia.org/wiki/Rudolf_Wagner;http://en.wikipedia.org/wiki/Rudolf_Wagner-Régeny;http://isni.org/isni/0000000110677347;http://data.doremus.org/artist/21366dd5-8240-391e-a82f-f5463e5aee8f
0000000081461466;http://en.wikipedia.org/wiki/Samuel_Coleridge;http://en.wikipedia.org/wiki/Samuel_Coleridge-Taylor;http://isni.org/isni/0000000081461466;http://data.doremus.org/artist/83b0b56f-eb76-3156-8f37-86db6310337e
0000000121344302;http://en.wikipedia.org/wiki/Joseph;http://en.wikipedia.org/wiki/Joseph-François_Garnier;http://isni.org/isni/0000000121344302;http://data.doremus.org/artist/16066823-3fca-36d8-b518-c2e4febfa37c
0000000055149102;http://en.wikipedia.org/wiki/Dynam;http://en.wikipedia.org/wiki/Dynam-Victor_Fumet;http://isni.org/isni/0000000055149102;http://data.doremus.org/artist/81c4f290-e3fe-3e40-86ac-04cea1d12c63
