URI	Nom du Fichier	P102 has title	P4 has time-span 
U8 foresees time span	Similarité
				
				
MEME DATE MEME TITRE				
				
				
<http://data.doremus.org/performance/5bbadc2f-e0ef-384e-a0c2-f8ac02e93caf>	13408.ttl	Orchestre Philharmonique de Radio France - Myung-Whun Chung	2014-04-11T20:00	Similarité :1.0
<http://data.doremus.org/performance/0b5a2ca0-74ca-37a9-b2d4-cb6509de81c9>	1016854.ttl	Orchestre Philharmonique de Radio France, Myung-Whun Chung	2014-04-11T20:00	
				
<http://data.doremus.org/performance/1abe2f61-b467-3d13-bc88-b4d155c20b7f>	14194.ttl	Gala d’ouverture 2	2015-01-15T20:30	Similarité :1.0
<http://data.doremus.org/performance/214bc0a1-5c2d-329a-9e60-e1333361c1bb>	1029282.ttl	Gala d'ouverture 2	2015-01-15T20:30	
				
<http://data.doremus.org/performance/bc33019b-1c1d-37a6-8b37-731018f0fbac>	13369.ttl	Orchestre du Théâtre Mariinsky - Valery Gergiev - Vadim Repin	2014-02-18T20:00	Similarité :1.0
<http://data.doremus.org/performance/1c7cf567-b60f-3136-948c-cd379f03a0d1>	1014020.ttl	Orchestre du Théâtre Mariinsky, Valery Gergiev, Vadim Repin	2014-02-18T20:00	
				
<http://data.doremus.org/performance/86cae442-9f4a-3c9f-bb6a-187356ec064d>	13426.ttl	MDR Sinfonieorchester Leipzig - MDR Rundfunkchor Leipzig - Kristjan Järvi - Steve Reich	2014-05-05T20:00	Similarité :1.0
<http://data.doremus.org/performance/94436e79-d81a-3a74-a15d-0d81eb5fa230>	1017741.ttl	MDR Sinfonieorchester Leipzig, MDR Rundfunkchor Leipzig, Kristjan Järvi, Steve Reich	2014-05-05T20:00	
				
<http://data.doremus.org/performance/42257d81-08b0-3a94-a6fd-e782730eb34b>	13384.ttl	Orchestre Philharmonique de Radio France - Esa-Pekka Salonen	2014-03-14T20:00	Similarité :1.0
<http://data.doremus.org/performance/07117124-a0c5-3bc3-b2e3-84abb7425e5c>	1015347.ttl	Orchestre Philharmonique de Radio France, Esa-Pekka Salonen	2014-03-14T20:00	
				
<http://data.doremus.org/performance/4ae7f27e-78e4-3fb0-9fae-f07da8b71a6b>	13352.ttl	Orchestre National d'Île-de-France - Enrique Mazzola - Markus Werba	2014-01-26T16:00	Similarité :1.0
<http://data.doremus.org/performance/2cb07c7c-3d2c-3cf3-93f5-82cc9b162951>	1017548.ttl	Orchestre national d'Île-de-France, Enrique Mazzola, Markus Werba	2014-01-26T16:00	
				
<http://data.doremus.org/performance/977d0406-7c3d-36ed-a409-e8d7d9480166>	14195.ttl	Les Arts Florissants - William Christie	2015-01-16T20:30	Similarité :1.0
<http://data.doremus.org/performance/b9c8c77f-4b81-3057-8772-8572846e8f2a>	1029285.ttl	Les Arts Florissants, William Christie	2015-01-16T20:30	
				
<http://data.doremus.org/performance/8d5eda42-5539-316d-b0ee-c2d4787b2118>	14461.ttl	Tindersticks	2015-02-10T20:30	Similarité :1.0
<http://data.doremus.org/performance/e5244d2c-5767-3bba-9f0c-b622aa473e8a>	1030359.ttl	Tindersticks	2015-02-10T20:30	
				
<http://data.doremus.org/performance/400dca34-920a-3c2c-9807-79536f90df61>	14167.ttl	Wiener Symphoniker - Philippe Jordan - Khatia Buniatishvili - Rainer Küblböck	2014-11-28T20:00	Similarité :1.0
<http://data.doremus.org/performance/9f20765f-a362-3006-8728-8aada29f805a>	1024947.ttl	Wiener Symphoniker, Philippe Jordan, Khatia Buniatishvili, Rainer Küblböck	2014-11-28T20:00	
				
<http://data.doremus.org/performance/1d14e38a-d407-3b61-aee4-695e6e5a086b>	14247.ttl	Les Dissonances - David Grimal	2015-02-09T20:30	Similarité :1.0
<http://data.doremus.org/performance/8ae7da6a-8728-39ac-bf83-13e2157c200c>	1030927.ttl	Les Dissonances, David Grimal	2015-02-09T20:30	
				
<http://data.doremus.org/performance/345efe5c-1d21-3a2f-b50a-99906d74c147>	14155.ttl	Orchestre de Paris - Louis Langrée	2014-12-10T20:00	Similarité :1.0
<http://data.doremus.org/performance/626e28a1-4ca7-3ed9-9ea8-d9bf1bd92651>	1027574.ttl	Orchestre de Paris, Louis Langrée	2014-12-10T20:00	
				
<http://data.doremus.org/performance/e75ff38c-01b0-35cd-aca2-fec21ab11ac4>	14029.ttl	Les Dissonances - David Grimal	2014-10-21T20:00	Similarité :1.0
<http://data.doremus.org/performance/4280cb11-94bb-3fd2-827c-4adcff8d8fd7>	1023315.ttl	Les Dissonances, David Grimal	2014-10-21T20:00	
				
<http://data.doremus.org/performance/29473466-800e-373c-a28d-5b3cb43764fa>	14241.ttl	Orchestre Philharmonique de Radio France - Myung-Whun Chung - Daniil Trifonov	2015-06-19T20:30	Similarité :1.0
<http://data.doremus.org/performance/4217dd6a-6322-3bb2-8095-863c740a70bb>	1035788.ttl	Orchestre Philharmonique de Radio France, Myung-Whun Chung, Daniil Trifonov	2015-06-19T20:30	
				
<http://data.doremus.org/performance/abc0040b-6787-3c54-9287-f6083a1b0835>	14211.ttl	The Divine Comedy	2015-02-11T20:30	Similarité :1.0
<http://data.doremus.org/performance/85397dd1-dae9-3e89-9631-c58583d850ba>	1030372.ttl	The Divine Comedy	2015-02-11T20:30	
				
<http://data.doremus.org/performance/d2f5c410-abef-37a9-8d7b-8feae4c775ac>	13296.ttl	Orchestre Philharmonique de Radio France - Myung-Whun Chung - Nicolas Baldeyrou - Christophe Henry	2013-11-08T20:00	Similarité :1.0
<http://data.doremus.org/performance/ab518472-3c2e-3cd1-9157-8f0892cb6747>	1010650.ttl	Orchestre Philharmonique de Radio France, Myung-Whun Chung, Nicolas Baldeyrou, Christophe Henry	2013-11-08T20:00	
				
<http://data.doremus.org/performance/01dfb273-17df-38e9-8303-3c533c35b37c>	14175.ttl	Orchestre Philharmonique de Radio France - Myung-Whun Chung - Evgeny Kissin	2014-09-19T20:00	Similarité :1.0
<http://data.doremus.org/performance/3cf0a7e7-20a2-37de-9ddc-b9f864edf0d3>	1021141.ttl	Orchestre Philharmonique de Radio France, Myung-Whun Chung, Evgeny Kissin	2014-09-19T20:00	
				
<http://data.doremus.org/performance/952d0972-b839-37d9-8768-0b94ffa6f145>	14034.ttl	Ensemble intercontemporain - Matthias Pintscher	2014-10-17T20:00	Similarité :1.0
<http://data.doremus.org/performance/1d0a435f-0640-3f88-88e2-76c63dd79fa4>	1023309.ttl	Ensemble intercontemporain, Matthias Pintscher	2014-10-17T20:00	
				
<http://data.doremus.org/performance/a19920cd-89a0-31ea-91b1-b52b95bec2b3>	14361.ttl	Gustavo Dudamel 2	2015-01-25T16:30	Similarité :1.0
<http://data.doremus.org/performance/7a4869d6-01a6-3288-af89-8e5a90938b5d>	1029290.ttl	Gustavo Dudamel 2	2015-01-25T16:30	
				
<http://data.doremus.org/performance/68451190-922b-3e0a-9e6e-6e4abcc6f267>	14095.ttl	Les Dissonances - David Grimal	2015-04-01T20:30	Similarité :1.0
<http://data.doremus.org/performance/850618f8-2702-33f6-a43a-5c85c4c29c65>	1033088.ttl	Les Dissonances. David Grimal	2015-04-01T20:30	
				
<http://data.doremus.org/performance/5688f962-23d9-3bf7-85fe-4a6d1d92203b>	14153.ttl	Orchestre National d'Île-de-France - Enrique Mazzola - Jeff Mills	2014-12-06T20:00	Similarité :1.0
<http://data.doremus.org/performance/a38dee38-f982-3afc-8d2b-df7a9db88d3c>	1028062.ttl	Orchestre national d'Ile-de-France, Enrique Mazzola, Jeff Mills	2014-12-06T20:00	
				
<http://data.doremus.org/performance/bbbfab2c-c68a-325c-b45a-2e3cfe3f33fc>	13376.ttl	Khatia Buniatishvili	2014-03-04T20:00	Similarité :1.0
<http://data.doremus.org/performance/682f7138-8e22-3fab-9cf1-25e7dfb1cfc0>	1014782.ttl	Khatia Buniatishvili	2014-03-04T20:00	
				
<http://data.doremus.org/performance/1a526b80-08fb-3da2-a2ed-2ff86dfba83c>	13317.ttl	Orchestre du Théâtre Mariinsky - Valery Gergiev - Veronika Djoeva - Mikhail Petrenko	2013-12-02T20:00	Similarité :1.0
<http://data.doremus.org/performance/1968abb1-0ab0-3863-be6c-354dc63abda0>	1011725.ttl	Orchestre du Théâtre Mariinsky, Valery Gergiev, Veronika Djoeva, Mikhail Petrenko	2013-12-02T20:00	
				
