<http://data.doremus.org/performance/f658dda1-9b5e-3be4-8be1-042b780b3955>;15332.ttl;Les MaÃ®tres du Motet franÃ§ais;19/05/2016;SimilaritÃ© :0.428
<http://data.doremus.org/performance/4c628753-51a9-3ff8-8974-be39fbd50bab>;1049486.ttl;Orchestre de Paris, Daniel Harding;19/05/2016;
;;;;
<http://data.doremus.org/performance/15f26ffb-83e6-3c23-a7a2-93ed5a425ce1>;13532.ttl;Christophe Rousset;20/03/2014;SimilaritÃ© :0.409
<http://data.doremus.org/performance/d39a39a8-6c3e-33ac-854c-b14eb4d3174f>;1015035.ttl;Johann Sebastian Bach. Les TempÃ©raments;20/03/2014;
;;;;
<http://data.doremus.org/performance/04a26bb6-33da-3680-83e9-a1402a39581b>;15277.ttl;Le Sacre du printemps;08/04/2016;SimilaritÃ© :0.544
<http://data.doremus.org/performance/abf14b13-6240-3a96-9496-ed1cc11187e2>;1049476.ttl;Le Sacre du printemps. Orchestre national d+ÃŽle-de-France, Enrique Mazzola;08/04/2016;
;;;;
<http://data.doremus.org/performance/7981fd0d-8267-32f7-bea8-9e06b387271a>;14058.ttl;Concert d'ouverture du ChÅ“ur de l'Orchestre de Paris;17/01/2015;SimilaritÃ© :0.4425
<http://data.doremus.org/performance/191db78e-9a5f-3224-8226-28e047f4de22>;1029402.ttl;Week-end Portes ouvertes. Ouvrez !;17/01/2015;
;;;;
<http://data.doremus.org/performance/458f57db-3d73-348d-9eba-4e6cb9d4e81b>;14065.ttl;Rising Stars : Quatuor Ardeo;25/01/2015;SimilaritÃ© :0.422
<http://data.doremus.org/performance/7a4869d6-01a6-3288-af89-8e5a90938b5d>;1029290.ttl;Gustavo Dudamel 2;25/01/2015;
;;;;
<http://data.doremus.org/performance/c2aeca1a-6e1e-3358-a353-8f1c98c96a0a>;14091.ttl;Madrigaux guerriers;20/04/2015;SimilaritÃ© :0.6575
<http://data.doremus.org/performance/97e99afd-42e7-3c3a-9b45-f768f7f6a986>;1033095.ttl;Madrigaux guerriers. Paul Agnew, Les Arts Florissants;20/04/2015;
;;;;
<http://data.doremus.org/performance/4d637107-9290-348d-94ca-154454177fd4>;13511.ttl;BÃ©atrice Martin;13/03/2014;SimilaritÃ© :0.41950000000000004
<http://data.doremus.org/performance/5c1a2b6d-2d0c-3f4f-87ad-fa7536eea695>;1014849.ttl;Johann Sebastian Bach. Les TempÃ©raments;13/03/2014;
;;;;
<http://data.doremus.org/performance/4d637107-9290-348d-94ca-154454177fd4>;13511.ttl;BÃ©atrice Martin;13/03/2014;SimilaritÃ© :0.41950000000000004
<http://data.doremus.org/performance/b6d85666-dfa7-3b95-9843-691118f041a1>;1014848.ttl;Johann Sebastian Bach. Les TempÃ©raments;13/03/2014;
;;;;
<http://data.doremus.org/performance/84004a8a-7907-3d68-8154-c598efb6ee33>;14515.ttl;Solistes de l'ensemble intercontemporain;17/01/2015;SimilaritÃ© :0.4135
<http://data.doremus.org/performance/e450d47e-6d9c-3078-a00a-ca8e035d9724>;1029397.ttl;Week-end Portes ouvertes. Concert d'ouverture du Choeur de l'Orchestre de Paris;17/01/2015;
;;;;
<http://data.doremus.org/performance/8f5ad1f2-a538-3df2-9b1a-a676f47aab63>;14083.ttl;Philippe DecouflÃ© ;07/03/2015;SimilaritÃ© :0.532
<http://data.doremus.org/performance/143da8c1-e5ba-316b-9e03-2f9cc368797b>;1031208.ttl;Week-end David Bowie. Philippe DecouflÃ©. WieBo;07/03/2015;
;;;;
<http://data.doremus.org/performance/5cd06f80-db72-31a5-8032-f6bd8746eb09>;13295.ttl;Menahem Pressler - Quatuor EbÃ¨ne ;07/11/2013;SimilaritÃ© :0.5355000000000001
<http://data.doremus.org/performance/43533faf-2ebb-31b7-bf75-1a5912021835>;1010647.ttl;Menahem Pressler, Wu Han, Christoph PrÃ©gardien, Quatuor EbÃ¨ne, Benjamin Berlioz. Concert anniversaire 90 ans de Menahem Pressler;07/11/2013;
;;;;
<http://data.doremus.org/performance/351460f8-5606-3afb-aa76-5f5bb501e2eb>;16303.ttl;Ateliers-Concerts pour les tout-petits;24/01/2016;SimilaritÃ© :0.4305
<http://data.doremus.org/performance/f2d5153c-ef96-3b92-9a69-5ea8fbd950a8>;1046555.ttl;Biennale de quatuors Ã  cordes. Quatuor Modigliani;24/01/2016;
;;;;
<http://data.doremus.org/performance/bc6a6017-c43a-3965-b7af-723795e4c72c>;14033.ttl;Insula Orchestra - Accentus - Laurence Equilbey;11/10/2014;SimilaritÃ© :0.419
<http://data.doremus.org/performance/2243e6b4-5285-3717-bcc6-b22777409c16>;1022328.ttl;Guerre et Paix I. Bataille et victoire;11/10/2014;
;;;;
<http://data.doremus.org/performance/42a85d72-e273-3ba6-9ccf-79e8ddcd44d3>;13148.ttl;Les Arts Florissants;20/12/2013;SimilaritÃ© :0.474
<http://data.doremus.org/performance/bc4ce2da-4a80-380e-9ab3-2f174b8f118f>;1012123.ttl;William Christie, Les Arts Florissants. Airs sÃ©rieux et Ã  boire;20/12/2013;
;;;;
<http://data.doremus.org/performance/17f948eb-bac1-3895-9884-8bb418a6fed5>;13187.ttl;Les Dissonances - David Grimal;25/05/2014;SimilaritÃ© :0.445
<http://data.doremus.org/performance/ed7cd670-e10b-39a7-990d-4dc0fdf470ec>;1017725.ttl;Domaine privÃ© Henri Dutilleux;25/05/2014;
;;;;
<http://data.doremus.org/performance/b38f1b6b-6d5e-3152-b247-eb54d6f9ae23>;17533.ttl;Erik Truffaz Quartet feat. Rokia TraorÃ© / GoGo Penguin;07/09/2016;SimilaritÃ© :0.4945
<http://data.doremus.org/performance/07ed5731-0f0e-3706-be9b-80edb2652110>;1056441.ttl;Jazz Ã  la Villette : GoGo Penguin;07/09/2016;
;;;;
<http://data.doremus.org/performance/56fab284-bcaf-307a-8132-319bbbf21995>;17235.ttl;Orchestre National de Jazz;02/09/2016;SimilaritÃ© :0.603
<http://data.doremus.org/performance/5e86d896-32bf-3f81-908a-1d5683a22a78>;1056243.ttl;Jazz Ã  la Villette : Orchestre National de Jazz : ONJ 30 ans !;02/09/2016;
;;;;
<http://data.doremus.org/performance/6b789b1e-eaf7-36ba-b76f-5835bbb3887c>;14354.ttl;Le Quintette Ã  vent, de Haydn Ã  Cage;07/12/2014;SimilaritÃ© :0.528
<http://data.doremus.org/performance/7e3cd6e7-b734-378b-a9ec-ca7131b0cea7>;1029524.ttl;Concert Ã©ducatif scolaire. Le quintette Ã  vent de Haydn Ã  Cage;07/12/2014;
;;;;
<http://data.doremus.org/performance/501c66a0-0f29-3720-9797-f1789ff2e0d1>;15146.ttl;Magnificat;17/12/2015;SimilaritÃ© :0.623
<http://data.doremus.org/performance/a16810f3-9d74-3d81-a3e8-5159a25c53ed>;1043881.ttl;Magnificat. Thomas Hengelbrock;17/12/2015;
;;;;
<http://data.doremus.org/performance/bf3f6ed4-af3e-34a9-9572-8e64ad68e1b8>;15165.ttl;Gewandhausorchester Leipzig;10/10/2015;SimilaritÃ© :0.43299999999999994
<http://data.doremus.org/performance/02930d8d-adbf-3d1a-ba82-f17772f51951>;1041823.ttl;Week-end Turbulences numÃ©riques. Grand soir;10/10/2015;
;;;;
<http://data.doremus.org/performance/23c859bc-4f73-350f-bcee-0dba95f5fce0>;17522.ttl;Nils Petter Molvaer Quartet / Tigran, Jan Bang, Eivind Aarset & Arve Henriksen (Atmosphere Quartet);09/09/2016;SimilaritÃ© :0.4415
<http://data.doremus.org/performance/7df7e310-e120-3657-b423-0e0f01afc3cd>;1056445.ttl;Staatskapelle Berlin, Daniel Barenboim : Mozart et Bruckner;09/09/2016;
;;;;
<http://data.doremus.org/performance/d6c61131-20e5-3e9b-ac79-9e0753ae6619>;15537.ttl;Quatuor Tetzlaff;23/01/2016;SimilaritÃ© :0.4095
<http://data.doremus.org/performance/f2913927-0a51-3e1c-a936-f575679cb004>;1045778.ttl;Biennale de quatuors Ã  cordes. Quatuor Casals;23/01/2016;
;;;;
<http://data.doremus.org/performance/d6c61131-20e5-3e9b-ac79-9e0753ae6619>;15537.ttl;Quatuor Tetzlaff;23/01/2016;SimilaritÃ© :0.46399999999999997
<http://data.doremus.org/performance/0fe51bd5-f7a0-3216-8eb2-969de856effc>;1045787.ttl;Biennale de quatuors Ã  cordes. Quatuor Tetzlaff;23/01/2016;
;;;;
<http://data.doremus.org/performance/db763977-d15f-31c2-a985-75315f58279c>;13527.ttl;Christine Schornsheim;19/03/2014;SimilaritÃ© :0.45
<http://data.doremus.org/performance/2e72f61c-847d-3138-9dec-5c8f3fc9dd0e>;1015034.ttl;Johann Sebastian Bach. Les TempÃ©raments;19/03/2014;
;;;;
<http://data.doremus.org/performance/db763977-d15f-31c2-a985-75315f58279c>;13527.ttl;Christine Schornsheim;19/03/2014;SimilaritÃ© :0.45
<http://data.doremus.org/performance/7d4d8393-c5a5-39bb-a681-b3f011be5207>;1015033.ttl;Johann Sebastian Bach. Les TempÃ©raments;19/03/2014;
;;;;
<http://data.doremus.org/performance/c2ca1a34-f8c4-3272-9b9b-ae01069cc8c7>;16875.ttl;Beethoven ;17/10/2016;SimilaritÃ© :0.4125
<http://data.doremus.org/performance/1e859655-3d35-3c31-9fb6-53ae21ddc1fe>;1057597.ttl;Martha and Friends;17/10/2016;
;;;;
<http://data.doremus.org/performance/cc7133f6-8c81-3045-908e-2f90972e769e>;14571.ttl;Mulatu Astatke / Hiatus Kaiyote;12/09/2014;SimilaritÃ© :0.478
<http://data.doremus.org/performance/5d131e0c-6c0c-3e28-90e3-bc8c2903f83c>;1021379.ttl;Jazz Ã  la Villette. Mulatu Astatke;12/09/2014;
;;;;
<http://data.doremus.org/performance/115bb8e1-820f-3632-80d3-d3310c73abfe>;15152.ttl;Louis XIV et ses musiques ;05/12/2015;SimilaritÃ© :0.4345
<http://data.doremus.org/performance/95ae98e1-6fd7-3ac6-b265-6c78a3b14205>;1042772.ttl;Week-end Au temps de Louis XIV. Portraits de la cour;05/12/2015;
;;;;
<http://data.doremus.org/performance/6b925e9b-dfc5-353a-9904-fbc1fbe608e7>;13698.ttl;Top chef: le roi de l'orchestre;21/03/2014;SimilaritÃ© :0.41900000000000004
<http://data.doremus.org/performance/08c478e2-5750-3821-9733-e14efc7ad8cd>;1015038.ttl;Johann Sebastian Bach. Les TempÃ©raments;21/03/2014;
;;;;
<http://data.doremus.org/performance/6b925e9b-dfc5-353a-9904-fbc1fbe608e7>;13698.ttl;Top chef: le roi de l'orchestre;21/03/2014;SimilaritÃ© :0.41900000000000004
<http://data.doremus.org/performance/08c478e2-5750-3821-9733-e14efc7ad8cd>;1015038.ttl;Johann Sebastian Bach. Les TempÃ©raments;21/03/2014;
;;;;
<http://data.doremus.org/performance/43134115-8aa4-30f6-b610-6b4467b273d7>;13382.ttl;Orchestre de Paris - Marek Janowski - Anja Harteros;13/03/2014;SimilaritÃ© :0.465
