<http://data.doremus.org/performance/7981fd0d-8267-32f7-bea8-9e06b387271a>;14058.ttl;Concert d'ouverture du ChÅ“ur de l'Orchestre de Paris;17/01/2015;SimilaritÃ© :0.6519999999999999
<http://data.doremus.org/performance/e450d47e-6d9c-3078-a00a-ca8e035d9724>;1029397.ttl;Week-end Portes ouvertes. Concert d'ouverture du Choeur de l'Orchestre de Paris;17/01/2015;
;;;;
<http://data.doremus.org/performance/7e969173-20e5-3af0-bd94-f1a658c5020f>;17526.ttl;"\""Tribute to Fela\"" feat. Seun Kuti & Egypt 80, Talib Kweli, Ibeyi, Tony Allen, Cheick Tidiane Seck..";08/09/2016;SimilaritÃ© :0.8325
<http://data.doremus.org/performance/4d6106e9-bfa8-3508-98f9-becc4d7a633f>;1056261.ttl;"Jazz Ã  la Villette : \""Tribute to Fela\"" feat. Seun Kuti & Egypt 80, Talib Kweli, Ibeyi, Tony Allen, Cheick Tidiane Seck";08/09/2016;
;;;;
<http://data.doremus.org/performance/18474840-a76f-35d0-bcd1-ed45f7d09ba6>;13169.ttl;Les Dissonances - David Grimal ;01/03/2014;SimilaritÃ© :0.6990000000000001
<http://data.doremus.org/performance/febc426a-438a-3368-9830-c1a42d1cf04b>;1018849.ttl;Mozart enfant. Les Dissonances, David Grimal;01/03/2014;
;;;;
<http://data.doremus.org/performance/18474840-a76f-35d0-bcd1-ed45f7d09ba6>;13169.ttl;Les Dissonances - David Grimal ;01/03/2014;SimilaritÃ© :0.6990000000000001
<http://data.doremus.org/performance/27737cbc-c8f2-34da-87b3-20ce7c93e0bf>;1018848.ttl;Mozart enfant. Les Dissonances, David Grimal;01/03/2014;
;;;;
<http://data.doremus.org/performance/2b5da5db-0f78-30c7-938b-df8a1f39c8b7>;16538.ttl;Orchestre de Paris;16/09/2016;SimilaritÃ© :0.7215
<http://data.doremus.org/performance/a033d0c8-e35b-39cc-957d-9d39e00bc5e1>;1056843.ttl;Orchestre de Paris / Daniel Harding;16/09/2016;
;;;;
<http://data.doremus.org/performance/b38f1b6b-6d5e-3152-b247-eb54d6f9ae23>;17533.ttl;Erik Truffaz Quartet feat. Rokia TraorÃ© / GoGo Penguin;07/09/2016;SimilaritÃ© :0.6085
<http://data.doremus.org/performance/74002bb6-c882-3c7f-a580-5d97e13999f3>;1056435.ttl;Jazz Ã  la Villette : Erik Truffaz Quartet feat. Rokia TraorÃ©;07/09/2016;
;;;;
<http://data.doremus.org/performance/ccceff89-8f85-3ad5-af3b-9fbf86ce4a7c>;13316.ttl;Orchestre du ThÃ©Ã¢tre Mariinsky - Valery Gergiev - Daniil Trifonov ;01/12/2013;SimilaritÃ© :0.882
<http://data.doremus.org/performance/4122d11f-104a-344b-9651-daee1f0be5ee>;1011723.ttl;Orchestre du ThÃ©Ã¢tre Mariinsky, Valery Gergiev, Daniil Trifonov, Timur Martynov;01/12/2013;
;;;;
<http://data.doremus.org/performance/688e63e7-c320-3f1d-92b4-faf3b64adf7f>;13494.ttl;Orchestre Philharmonique de Radio France / Quatuor Arditti;21/01/2014;SimilaritÃ© :0.7025
<http://data.doremus.org/performance/bd992ca5-e8a9-3d34-83e2-4324d74037ef>;1012680.ttl;6e biennale quatuors Ã  cordes. Orchestre Philharmonique de Radio France, Quatuor Arditti;21/01/2014;
;;;;
<http://data.doremus.org/performance/8723067f-d805-3621-a60a-cf7655780ed6>;16921.ttl;Ernest Ranglin & friends feat. Cheikh LÃ´, Tony Allen, Courtney Pine, Ira Coleman & Alex Wilson;31/08/2016;SimilaritÃ© :0.8335
<http://data.doremus.org/performance/6e93157c-63d9-3a07-9e2d-818ea2d10ebc>;1056237.ttl;Jazz Ã  la Villette : Ernest Ranglin & friends feat. Cheikh LÃ´, Tony Allen, Courtney Pine, Ira Coleman & Alex Wilson;31/08/2016;
;;;;
<http://data.doremus.org/performance/4855de93-f775-3452-8300-4e051f31d26f>;16536.ttl;Staatskapelle Berlin / Daniel Barenboim;09/09/2016;SimilaritÃ© :0.8285
<http://data.doremus.org/performance/7df7e310-e120-3657-b423-0e0f01afc3cd>;1056445.ttl;Staatskapelle Berlin, Daniel Barenboim : Mozart et Bruckner;09/09/2016;
;;;;
<http://data.doremus.org/performance/fde0135f-0df2-3c00-bd21-fc1b6b64ce52>;16839.ttl;Martha & Friends;17/10/2016;SimilaritÃ© :0.8665
<http://data.doremus.org/performance/1e859655-3d35-3c31-9fb6-53ae21ddc1fe>;1057597.ttl;Martha and Friends;17/10/2016;
;;;;
<http://data.doremus.org/performance/196a0f5a-b99a-3107-ba2a-878a4cd18502>;14564.ttl;"Robin McKelle & The Flytones \""Stax Soul Session\""";07/09/2014;SimilaritÃ© :0.7775000000000001
<http://data.doremus.org/performance/4861b687-7eff-3430-84f4-32d6fb05a8fc>;1021884.ttl;"Jazz Ã  la Villette. Robin McKelle & The Flytones \""Stax Soul Session\""";07/09/2014;
;;;;
<http://data.doremus.org/performance/febb15e9-dd0e-357c-bcc9-5f60edff95c3>;13367.ttl;Orchestre du ThÃ©Ã¢tre Mariinsky - Valery Gergiev;16/02/2014;SimilaritÃ© :0.8775
<http://data.doremus.org/performance/9142e944-4cfb-3a01-8bda-fcbefa175106>;1014017.ttl;Orchestre du ThÃ©Ã¢tre Mariinsky, Valery Gergiev, Alena Baeva;16/02/2014;
;;;;
<http://data.doremus.org/performance/33762e46-2ed3-3ac0-b316-3d976b7590a4>;14026.ttl;La Chambre Philharmonique - Emmanuel Krivine - Steven Isserlis;16/12/2014;SimilaritÃ© :0.793
<http://data.doremus.org/performance/128665ae-5f02-3558-8acb-2cfd207202aa>;1028627.ttl;Guerre et Paix III. La Chambre Philharmonique, Emmanuel Krivine, Steven Isserlis;16/12/2014;
;;;;
<http://data.doremus.org/performance/8862bd0c-1419-30b2-b602-f6b7f12d178b>;13238.ttl;Univers parallÃ¨les;18/06/2014;SimilaritÃ© :0.6685
<http://data.doremus.org/performance/8c79a52a-1740-3c6e-8371-21e160e3ba9f>;1019811.ttl;Visions du monde. Univers parallÃ¨les;18/06/2014;
;;;;
<http://data.doremus.org/performance/37424d83-3b4e-31e1-9e3f-3b06cc59df6d>;15128.ttl;Les Dissonances;06/10/2015;SimilaritÃ© :0.7005
<http://data.doremus.org/performance/1386ad04-a768-3b93-af13-980357c76121>;1040876.ttl;Les Dissonances : David Grimal;06/10/2015;
;;;;
<http://data.doremus.org/performance/fcb203bf-096f-3195-bd62-fdac7e38f2ce>;13428.ttl;Orchestre de Paris - Daniel Harding ;07/05/2014;SimilaritÃ© :0.7655000000000001
<http://data.doremus.org/performance/e8a1012e-5e91-3f66-a68e-d4f17ebfa643>;1017724.ttl;Orchestre de Paris, Daniel Harding, Christianne Stotijn;07/05/2014;
;;;;
<http://data.doremus.org/performance/c1d0e749-ada6-3dbc-a383-4a2e9b380e7b>;17530.ttl;"Archie Shepp All Star \""Tribute to John Coltrane\"" feat. J. Moran, A. Akinmusire, B. Hart & R. Davis";03/09/2016;SimilaritÃ© :0.8305
<http://data.doremus.org/performance/ba070f98-9b16-3e4a-9ed4-16045e0ca14f>;1056253.ttl;"Jazz Ã  la Villette : Archie Shepp All Star \""Tribute to John Coltrane\"" feat. J. Moran, A. Akinmusire, B. Hart & R. Davis";03/09/2016;
;;;;
<http://data.doremus.org/performance/454dca92-1b5c-3aeb-84f6-d3d1d52f1e40>;16920.ttl;"\""Echoes with a Friend\"" with Geri Allen, Craig Taborn & The McCoy Tyner Trio";11/09/2016;SimilaritÃ© :0.8125
<http://data.doremus.org/performance/0153d332-74b1-38e2-a182-555b876baa27>;1056302.ttl;"Jazz Ã  la Villette : \""Echoes with a Friend\"" with Geri Allen, Craig Taborn & The McCoy Tyner Trio";11/09/2016;
;;;;
<http://data.doremus.org/performance/9c7dd91c-d441-38ba-863e-accc667a191c>;15248.ttl;Orchestre de Paris;09/03/2016;SimilaritÃ© :0.7215
<http://data.doremus.org/performance/ebfd6f5f-fedc-3671-bf6c-97253b459ff5>;1047252.ttl;Orchestre de Paris, Jaap van Zweden;09/03/2016;
;;;;
<http://data.doremus.org/performance/b889e278-9b28-34d1-8719-403e300941cb>;13564.ttl;Gavroche, le chantre des pavÃ©s;06/06/2014;SimilaritÃ© :0.6625
<http://data.doremus.org/performance/f8a41b1e-1915-3e96-9d04-fadf7a3c81bc>;1019813.ttl;Concert Ã©ducatif. Gavroche, le chantre des pavÃ©s;06/06/2014;
;;;;
<http://data.doremus.org/performance/bc641421-65fd-35e4-889f-f73d7bd2e21e>;15173.ttl;Orchestre de Paris;21/10/2015;SimilaritÃ© :0.69
<http://data.doremus.org/performance/e704839d-0dea-3008-9828-9dd8aab9ac1e>;1042894.ttl;Orchestre de Paris. Esa-Pekka Salonen;21/10/2015;
;;;;
<http://data.doremus.org/performance/0aa1ab62-73c6-3c8c-8e0d-a157bf1c516f>;14566.ttl;Joshua Redman & The Bad Plus;09/09/2014;SimilaritÃ© :0.6385000000000001
<http://data.doremus.org/performance/750d1152-1c68-30a4-b329-e6d874abc57c>;1021565.ttl;Jazz Ã  la Villette. Joshua Redman and the Bad Plus;09/09/2014;
;;;;
<http://data.doremus.org/performance/dcd1e50d-df1f-3963-a155-973c0d9d03c1>;13145.ttl;Dominique A;25/11/2013;SimilaritÃ© :0.7335
<http://data.doremus.org/performance/6f90b8c4-6520-31d7-bcaa-f22ea11f214a>;1011460.ttl;Dominique A, y revenir;25/11/2013;
;;;;
<http://data.doremus.org/performance/d48baca3-5bc6-3a73-bce8-72522eebb708>;16543.ttl;Orchestre de Paris;28/09/2016;SimilaritÃ© :0.7215
<http://data.doremus.org/performance/b0aea66d-0cc2-302e-9105-312f919f2e78>;1061651.ttl;Orchestre de Paris, Daniel Harding;28/09/2016;
;;;;
<http://data.doremus.org/performance/cb1c2b80-25d5-31b0-8377-bfbcfb65ddbc>;14563.ttl;"Stephane Belmondo \""Blowin' The Blues Away\""";07/09/2014;SimilaritÃ© :0.764
<http://data.doremus.org/performance/22251a1b-56fe-3530-9139-b38368d8aa6d>;1021105.ttl;"Jazz Ã  la Villette. Stephane Belmondo \""Blowin' The Blues Away\""";07/09/2014;
;;;;
<http://data.doremus.org/performance/9706a237-6448-3d57-92c5-481d5b79c193>;13354.ttl;Orchestre de Paris - Paavo JÃ¤rvi - Menahem Pressler;29/01/2014;SimilaritÃ© :0.7
<http://data.doremus.org/performance/d760b280-70bf-3e23-ac3f-b0f4e2f0c304>;1013595.ttl;Orchestre de Paris, Paavo JÃ¤rvi, Menahem Pressler. Concert anniversaire 90 ans de Menahem Pressler;29/01/2014;
;;;;
<http://data.doremus.org/performance/b5f28745-4843-3663-8576-7bf541c8390c>;14559.ttl;"James Carter \""Giant Steps\"" / Omar Sosa \""Kind of Blue\""";06/09/2014;SimilaritÃ© :0.6905
<http://data.doremus.org/performance/572b99ab-c55a-3dc0-a58b-6cb872a3e475>;1021056.ttl;"Jazz Ã  la Villette. Omar Sosa \""Kind of Blue\""";06/09/2014;
;;;;
<http://data.doremus.org/performance/9372e574-e04a-3fc1-83cb-1487a2bab078>;13170.ttl;Les Dissonances - David Grimal;01/03/2014;SimilaritÃ© :0.6990000000000001
<http://data.doremus.org/performance/febc426a-438a-3368-9830-c1a42d1cf04b>;1018849.ttl;Mozart enfant. Les Dissonances, David Grimal;01/03/2014;
;;;;
<http://data.doremus.org/performance/9372e574-e04a-3fc1-83cb-1487a2bab078>;13170.ttl;Les Dissonances - David Grimal;01/03/2014;SimilaritÃ© :0.6990000000000001
<http://data.doremus.org/performance/27737cbc-c8f2-34da-87b3-20ce7c93e0bf>;1018848.ttl;Mozart enfant. Les Dissonances, David Grimal;01/03/2014;
;;;;
<http://data.doremus.org/performance/af373514-d931-3048-acc5-d6cb669aa75d>;13480.ttl;Le Ramayana balinais - L'EnlÃ¨vement de Sita;02/02/2014;SimilaritÃ© :0.77
<http://data.doremus.org/performance/cc867a47-43cb-33f7-b315-93f0bebc9ef2>;1013599.ttl;Wayang Wong, le Ramayana balinais : l'enlÃ¨vement de Sita;02/02/2014;
;;;;
<http://data.doremus.org/performance/af373514-d931-3048-acc5-d6cb669aa75d>;13480.ttl;Le Ramayana balinais - L'EnlÃ¨vement de Sita;02/02/2014;SimilaritÃ© :0.77
<http://data.doremus.org/performance/cc867a47-43cb-33f7-b315-93f0bebc9ef2>;1013599.ttl;Wayang Wong, le Ramayana balinais : l'enlÃ¨vement de Sita;02/02/2014;
;;;;
<http://data.doremus.org/performance/8287886a-fdf9-3c87-8413-416aeb1984e2>;16052.ttl;Chamber Orchestra of Europe;21/02/2016;SimilaritÃ© :0.7484999999999999
<http://data.doremus.org/performance/605343a4-c820-382b-a53c-c85e390ebde2>;1047126.ttl;Chamber Orchestra of Europe, Yannick NÃ©zet-SÃ©guin;21/02/2016;
;;;;
<http://data.doremus.org/performance/0548b06c-d873-3aa9-957f-16cc2877e3a4>;13149.ttl;Les Dissonances - David Grimal;19/12/2013;SimilaritÃ© :0.74
<http://data.doremus.org/performance/14d89603-6af2-3acc-a6dd-06661e2c4ab1>;1012118.ttl;La nature du son. Les Dissonances, David Grimal;19/12/2013;
;;;;
<http://data.doremus.org/performance/70e0269e-f28f-363a-88cb-a573e2fb315d>;15174.ttl;Inauguration de lâ€™orgue symphonique;28/10/2015;SimilaritÃ© :0.8045
<http://data.doremus.org/performance/3af88215-0c94-3c4c-a3d3-e86df59d9a9d>;1041860.ttl;Inauguration de l'orgue symphonique. Orchestre de Paris;28/10/2015;
;;;;
<http://data.doremus.org/performance/b5776e13-dc56-38a9-a20a-bc8da1cfb7e3>;14558.ttl;Avishai Cohen Trio avec Kurt Rosenwinkel;05/09/2014;SimilaritÃ© :0.7475
<http://data.doremus.org/performance/dbe3cd93-6d38-3242-a5c6-86c836b55385>;1021046.ttl;Jazz Ã  la Villette. Avishai Cohen Trio avec Kurt Rosenwinkel;05/09/2014;
;;;;
<http://data.doremus.org/performance/eb7bb4a0-9c99-3022-aa52-4b208e3d6cc7>;16594.ttl;Requiem de Mozart;25/11/2016;SimilaritÃ© :0.75
<http://data.doremus.org/performance/c8896586-97a4-3fc8-b2fb-29b06f28546b>;1058866.ttl;Requiem de Mozart, RenÃ© Jacobs;25/11/2016;
;;;;
<http://data.doremus.org/performance/f3ea6d2a-d023-35b7-95a8-4f8199a33867>;16658.ttl;Staatskapelle Berlin / Daniel Barenboim;07/01/2017;SimilaritÃ© :0.8885
<http://data.doremus.org/performance/0f084845-fbc7-3550-baba-f63611dabe5f>;1061041.ttl;Staatskapelle Berlin, Daniel Barenboim. Bruckner;07/01/2017;
;;;;
<http://data.doremus.org/performance/257a1260-d778-3eca-9916-84425cd1924d>;17803.ttl;"Archie Shepp \""Art songs & spirituals\""";12/09/2017;SimilaritÃ© :0.744
<http://data.doremus.org/performance/39b64fd6-fd32-3cab-a26a-fa2505d46bfe>;1069702.ttl;"Jazz Ã  la Villette : Archie Shepp \""Art songs & spirituals\""";12/09/2017;
;;;;
<http://data.doremus.org/performance/824454c6-0ce1-34b7-8c7f-6bfd6e193cbd>;18220.ttl;DÃ©mos;25/06/2017;SimilaritÃ© :0.76
<http://data.doremus.org/performance/9cd32e51-4e68-39d5-bb13-485956fa70b8>;1067689.ttl;DÃ©mos 2017;25/06/2017;
;;;;
<http://data.doremus.org/performance/3d30bc57-460d-3216-a14f-04d804162391>;18964.ttl;DÃ©mos;25/06/2017;SimilaritÃ© :0.76
<http://data.doremus.org/performance/9cd32e51-4e68-39d5-bb13-485956fa70b8>;1067689.ttl;DÃ©mos 2017;25/06/2017;
;;;;
<http://data.doremus.org/performance/e1690ff5-821e-3b62-946c-cd6eebd727ed>;17843.ttl;Jeanne Cherhal & Bachar Mar-KhalifÃ©;24/11/2017;SimilaritÃ© :0.769
<http://data.doremus.org/performance/6cb674ba-5ba4-3666-ba77-f8fabae27bf8>;1074291.ttl;Jeanne Cherhal et Bachar Mar-KhalifÃ©. ARBA - Autour de Barbara;24/11/2017;
;;;;
<http://data.doremus.org/performance/fb294ee4-b191-30a0-8be1-e4df874becdc>;16656.ttl;Staatskapelle Berlin / Daniel Barenboim;05/01/2017;SimilaritÃ© :0.8285
<http://data.doremus.org/performance/5fd90c4c-cc65-3003-a1ba-807505363f45>;1061035.ttl;Staatskapelle Berlin, Daniel Barenboim. Mozart et Bruckner;05/01/2017;
;;;;
<http://data.doremus.org/performance/88a32754-316f-3042-8cd9-4a4c655a2a5f>;17766.ttl;Staatskapelle Berlin / Barenboim;09/09/2017;SimilaritÃ© :0.7925
<http://data.doremus.org/performance/563331a0-7f67-3060-823f-a299f20fde37>;1069793.ttl;Staatskapelle Berlin, Daniel Barenboim. Bruckner;09/09/2017;
;;;;
<http://data.doremus.org/performance/2f17c33a-ebef-3d61-8754-f9dc64106f74>;17239.ttl;"\""Planetarium\"" Sufjan Stevens, Nico Muhly, Bryce Dessner & James McAlister";10/07/2017;SimilaritÃ© :0.7865
<http://data.doremus.org/performance/3f6eeaa8-a729-3ae6-ba93-e39223e957f7>;1069214.ttl;"Festival Days Off. \""Planetarium\"" Sufjan Stevens, Nico Muhly, Bryce Dessner et James McAlister";10/07/2017;
;;;;
<http://data.doremus.org/performance/edfb62b1-6073-388c-8404-251ca190f2ff>;16676.ttl;Symphonieorchester des Bayerischen Rundfunks - Jansons ;31/01/2017;SimilaritÃ© :0.7545
