prefLabel@fr,Décision\nNe pas convertir,Exact match IAML,Contexte d'utilisation (à mettre en scopenote)\nNe plus mentionner dans le référentiel. A considérer comme note de travail. Ne pas convertir,Contexte (collection skos),altLabel@fr,prefLabel@en,altLabel@en,prefLabel@it,altLabel@it,description@fr,skos:scopeNote@fr,Définition UNIMARC (ne pas convertir),Commentaires (ne pas convertir),mapping RF  (ne pas convertir),mapping BnF  (ne pas convertir),mapping PP (codes fonction issus d'Aloès)  (ne pas convertir),Notes de travail (à ne pas convertir)
acrobate,A revoir (IAML) \n10/11/2017 (CC) : --> interprètes ?\n20/11/2017 : ok\n28/02/2018 : ajout du contexte casting et de la scopenote,,M28 Individual Performance,performance\ncasting,,acrobat,,acrobata,,"Agent dont la souplesse et la force sont artistiquement mises en valeur au cirque et dans les spectacles. (Larousse, modifié) ","Dans la distribution, la mention de cette fonction est un raccourci pour l'exécution d'une oeuvre de spectacle vivant incorporée à une oeuvre musicale. ",,,,,,
acteur,18/10/2017 : ok\n28/02/2018 : ajout du contexte casting et de la scopenote,,M28 Individual Performance,performance\ncasting,comédien\nactrice,actor,,attore,,"Agent contribuant à l'interprétation d'une oeuvre en agissant à titre de membre d'une distribution artistique ou de comédien dans une représentation musicale ou dramatique etc. (RDA, modifié)","Dans la distribution, la mention de cette fonction est un raccourci pour l'exécution d'une oeuvre de spectacle vivant incorporée à une oeuvre musicale. ",,,,,,Personne jouant dans un spectacle ou exécutant une œuvre musicale.\n(UNIMARC)
   > acteur enfant,09/11/2017 : à intégrer\n28/02/2018 : ajout du contexte casting et de la scopenote,,M28 Individual Performance,performance\ncasting,,child actor,,attore bambino,,"Enfant contribuant à l'interprétation d'une oeuvre en agissant à titre de membre d'une distribution artistique ou de comédien dans une représentation musicale ou dramatique etc. (RDA, modifié)","Dans la distribution, la mention de cette fonction est un raccourci pour l'exécution d'une oeuvre de spectacle vivant incorporée à une oeuvre musicale.",,,,,,
   > acteur muet,09/11/2017 : à intégrer\n28/02/2018 : ajout du contexte casting et de la scopenote,,M28 Individual Performance,performance\ncasting,,silent actor,,attore muto,,"Acteur qui n'a pas de texte à dire. (Larousse, modifié)","Dans la distribution, la mention de cette fonction est un raccourci pour l'exécution d'une oeuvre de spectacle vivant incorporée à une oeuvre musicale.",,,,,,
   > figurant,"09/11/2017 : à intégrer (IAML)\n10/11/2017 (CC) : sous interprète ?\n16/02/2018 : modification de la définition, de la traduction anglaise et de la hiérarchie (mis sous ""acteur"") - (MV - CC) \n28/02/2018: ok\n28/02/2018 : ajout du contexte casting et de la scopenote",,M28 Individual Performance,performance\ncasting,,extra,background actor,figurante,comparsa,"Acteur à qui l'on ne demande que\nla présence dans une pièce de théâtre, \nun film, un ballet, etc. \n(Larousse) \n","Dans la distribution, la mention de cette fonction est un raccourci pour l'exécution d'une oeuvre de spectacle vivant incorporée à une oeuvre musicale.",,,,,,
adaptateur,10/11/17 : OK,,F28 Expression Creation (lié à F22 Self-Contained Expression),musical_work\ncreative_work,,adapter,,adattatore,,"Agent qui transpose une œuvre dans un autre genre artistique, ou pour un autre public (par exemple: adaptation pour enfants).",Entre oeuvres musicales on utilisera plutôt arrangeur. On garde la fonction adaptateur pour les modifications apportées à un texte littéraire pour en faire un texte mis en musique.,,,,,,
attaché de production (radio),"30/10/2017 : ok\n08/11/2017 (CC) : hiérarchiser sous ""contributeur"" ? --> non\n09/11/2017 : ok\n14/06/2018 : il est décidé de ne pas traduire ce terme",,"F28 Expression Creation (liée à F22 Self-Contained Expression de type ""émission radiophonique"")\n",creative_work,,,,assistente di produzione (radio),,"Agent chargé d’assister le producteur, l’animateur ou le journaliste dans certaines activités liées à l’élaboration d'une émission radiophonique (assistance au metteur en onde de l’émission et montage d’éléments, documentation, constitution de plateaux d'invités, alimentation du site web de l'émission). (Radio France, modifié)\n",,,,,,,"MV : En étroite relation avec le producteur et l'animateur de l’émission, il prépare la\nproduction des différentes émissions, réalise les recherches nécessaires pour établir la documentation la plus complète possible en fonction du contenu de chacune des émissions et suggère les témoignages et les différentes illustrations susceptibles d’enrichir l’émission.\nIl participe à la sélection d’invités et à la constitution de plateaux d’invités. Il assure la coordination et le lien entre les membres de l’équipe de production et lesintervenants extérieurs. Il assure la logistique administrative de l’émission et alimente les différents systèmes d’information ainsi que les pages Internet de l’émission et les réseaux sociaux "
auteur du texte,18/10/2017 : ok\n09/11/2017 : conserver M28 dans contexte\n16/02/2018 : on propose de supprimer M28 du contexte (MV - CC)\n28/02/2018 : on conserve M28 dans le contexte,,F28 Expression Creation (lié à F22 Self-Contained Expression)\nM28 Individual Performance (dans le cas d'une improvisation),musical_work\ncreative_work\nperformance,auteur\ncoauteur\nécrivain,author,,autore del testo,,"Agent exerçant la responsabilité principale dans la création du contenu intellectuel ou artistique d’une œuvre textuelle (Unimarc, modifié)","A utiliser aussi dans le contexte d'une représentation/exécution lorsque du texte est créé par improvisation (slam, etc.). ",,,,,,
      > auteur de dialogues,18/10/2017 : ok\n09/11/2017 : uniquement F28 en contexte,,F28 Expression Creation (lié à F22 Self-Contained Expression),creative_work,auteur du script\ndialoguiste,author of dialogue,,autore dei dialoghi,,Auteur des dialogues ou des commentaires oraux pour un scénario ou un enregistrement sonore.,A associer à l'œuvre textuelle incorporée dans l'œuvre musicale. Ne pas confondre avec le librettiste et le parolier.,,"oui, mais de l'œuvre textuelle incorporée dans l'œuvre musicale\nne pas confondre avec le librettiste et le parolier",,,,
      >  auteur de l’argument,"18/10/2017 : ok""18/10/2017 : ok\n09/11/2017 : uniquement F28 en contexte""",,F28 Expression Creation (lié à F22 Self-Contained Expression),creative_work,,author of argument,,autore dell'argomento,,"Auteur de l’action dramatique servant de trame à une autre œuvre (ballet, poème symphonique, etc.).",A associer à l'œuvre textuelle utilisée pour la création de la nouvelle œuvre.,,"oui, mais de l'œuvre textuelle sur laquelle est fondée l'œuvre chorégraphique",,,,
